GlobalId,Type,Name,PredefinedType
1wBBaWkZr7TAnfZiPZvFMT,IfcDuctFitting,M_Round Tee:Standard:1946493,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFLb,IfcDuctFitting,M_Round Tee:Standard:1946501,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFLf,IfcDuctFitting,M_Round Transition - Angle:45 Degree:1946505,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFLj,IfcDuctFitting,M_Round Tee:Standard:1946509,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFLn,IfcDuctFitting,M_Round Transition - Angle:45 Degree:1946513,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFLr,IfcDuctFitting,M_Round Transition - Angle:45 Degree:1946517,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFL7,IfcDuctFitting,M_Round Tee:Standard:1946535,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFLD,IfcDuctFitting,M_Round Elbow:2 D:1946541,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFLF,IfcDuctFitting,M_Round Tee:Standard:1946543,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFLP,IfcDuctFitting,M_Round Elbow:2 D:1946553,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFLR,IfcDuctFitting,M_Round Transition - Angle:45 Degree:1946555,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFKX,IfcDuctFitting,M_Round Tee:Standard:1946561,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFKb,IfcDuctFitting,M_Round Elbow:2 D:1946565,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFKd,IfcDuctFitting,M_Round Transition - Angle:45 Degree:1946567,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFKj,IfcDuctFitting,M_Round Tee:Standard:1946573,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFKn,IfcDuctFitting,M_Round Elbow:2 D:1946577,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFKp,IfcDuctFitting,M_Round Transition - Angle:45 Degree:1946579,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFKv,IfcDuctFitting,M_Round Tee:Standard:1946585,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFKz,IfcDuctFitting,M_Round Elbow:2 D:1946589,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFK$,IfcDuctFitting,M_Round Transition - Angle:45 Degree:1946591,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFK5,IfcDuctFitting,M_Round Tee:Standard:1946597,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFK7,IfcDuctFitting,M_Round Elbow:2 D:1946599,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFKC,IfcDuctFitting,M_Round Tee:Standard:1946604,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFKO,IfcDuctFitting,M_Round Tee:Standard:1946616,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFKU,IfcDuctFitting,M_Round Tee:Standard:1946622,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFBf,IfcDuctFitting,M_Round Elbow:2 D:1946633,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFBj,IfcDuctFitting,M_Round Tee:Standard:1946637,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFBy,IfcDuctFitting,M_Round Elbow:2 D:1946652,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFB2,IfcDuctFitting,M_Round Elbow:2 D:1946658,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFB6,IfcDuctFitting,M_Round Tee:Standard:1946662,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFBC,IfcDuctFitting,M_Round Tee:Standard:1946668,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFBI,IfcDuctFitting,M_Round Elbow:2 D:1946674,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFBO,IfcDuctFitting,M_Round Elbow:2 D:1946680,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFBQ,IfcDuctFitting,M_Round Elbow:2 D:1946682,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFAY,IfcDuctFitting,M_Round Tee:Standard:1946690,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFAz,IfcDuctFitting,M_Round Tee:Standard:1946717,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFA3,IfcDuctFitting,M_Round Tee:Standard:1946723,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFAB,IfcDuctFitting,M_Round Tee:Standard:1946731,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFAJ,IfcDuctFitting,M_Round Tee:Standard:1946739,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFAP,IfcDuctFitting,M_Round Tee:Standard:1946745,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFAV,IfcDuctFitting,M_Round Tee:Standard:1946751,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF9b,IfcDuctFitting,M_Round Tee:Standard:1946757,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF9l,IfcDuctFitting,M_Round Transition - Angle:45 Degree:1946767,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF9p,IfcDuctFitting,M_Round Transition - Angle:45 Degree:1946771,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF9t,IfcDuctFitting,M_Round Transition - Angle:45 Degree:1946775,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF9x,IfcDuctFitting,M_Round Transition - Angle:45 Degree:1946779,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF9z,IfcDuctFitting,M_Round Tee:Standard:1946781,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF95,IfcDuctFitting,M_Round Transition - Angle:45 Degree:1946789,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF97,IfcDuctFitting,M_Round Elbow:2 D:1946791,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF9B,IfcDuctFitting,M_Round Tee:Standard:1946795,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF9H,IfcDuctFitting,M_Round Transition - Angle:45 Degree:1946801,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF9L,IfcDuctFitting,M_Round Tee:Standard:1946805,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF9R,IfcDuctFitting,M_Round Transition - Angle:45 Degree:1946811,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF9T,IfcDuctFitting,M_Round Tee:Standard:1946813,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF8Z,IfcDuctFitting,M_Round Elbow:2 D:1946819,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF8d,IfcDuctFitting,M_Round Elbow:2 D:1946823,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF8l,IfcDuctFitting,M_Round Tee:Standard:1946831,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF8r,IfcDuctFitting,M_Round Transition - Angle:45 Degree:1946837,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF8v,IfcDuctFitting,M_Round Tee:Standard:1946841,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF8$,IfcDuctFitting,M_Round Transition - Angle:45 Degree:1946847,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF81,IfcDuctFitting,M_Round Tee:Standard:1946849,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF8B,IfcDuctFitting,M_Round Tee:Standard:1946859,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF8K,IfcDuctFitting,M_Round Transition - Angle:45 Degree:1946868,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF8M,IfcDuctFitting,Ventilation - Bøjning - BKU:BKU:1946870,NOTDEFINED
1wBBaWkZr7TAnfZiPZvF8S,IfcDuctFitting,M_Round Tee:Standard:1946876,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFFW,IfcDuctFitting,M_Round Elbow:2 D:1946880,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFFY,IfcDuctFitting,M_Round Tee:Standard:1946882,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFFa,IfcDuctFitting,M_Round Transition - Angle:45 Degree:1946884,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFFc,IfcDuctFitting,M_Round Tee:Standard:1946886,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFFk,IfcDuctFitting,M_Round Tee:Standard:1946894,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFFs,IfcDuctFitting,M_Round Cross:Standard:1946902,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFFy,IfcDuctFitting,M_Round Tee:Standard:1946908,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFF2,IfcDuctFitting,M_Round Tee:Standard:1946914,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFF8,IfcDuctFitting,M_Round Tee:Standard:1946920,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFFC,IfcDuctFitting,M_Round Tee:Standard:1946924,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFFK,IfcDuctFitting,Ventilation - Bøjning - BKU:BKU:1946932,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFFM,IfcDuctFitting,M_Round Tee:Standard:1946934,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFFU,IfcDuctFitting,M_Round Elbow:2 D:1946942,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFEY,IfcDuctFitting,M_Round Tee:Standard:1946946,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFEr,IfcDuctFitting,M_Round Tee:Standard:1946965,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFEx,IfcDuctFitting,M_Round Elbow:2 D:1946971,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFE$,IfcDuctFitting,M_Round Tee:Standard:1946975,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFE3,IfcDuctFitting,M_Round Elbow:2 D:1946979,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFE5,IfcDuctFitting,M_Round Tee:Standard:1946981,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFEH,IfcDuctFitting,M_Round Cross:Standard:1946993,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFEJ,IfcDuctFitting,M_Round Transition - Angle:45 Degree:1946995,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFEP,IfcDuctFitting,M_Round Elbow:2 D:1947001,NOTDEFINED
1wBBaWkZr7TAnfZiPZvFET,IfcDuctFitting,M_Round Tee:Standard:1947005,NOTDEFINED
